name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Enzo,448047,8,369,426,57,4,5,1,77,78
B.Badiashile,242880,8,267,151,-116,4,2,-2,35,33
Buonanotte,536916,36,160,217,57,1,2,1,57,58
Livramento,441191,4,253,177,-76,4,1,-3,45,42
Yates,204968,17,235,306,71,1,5,4,59,63
Mee,51927,94,210,105,-105,3,2,-1,39,38
Christie,158499,91,433,497,64,5,5,0,90,90
Kerkez,544877,91,290,173,-117,1,0,-1,59,58
Bentley,79602,39,73,45,-28,1,0,-1,18,17
Wilson,153682,54,307,373,66,5,7,2,94,96
Hinshelwood,532529,36,155,174,19,5,5,0,42,42
Janelt,204580,94,466,508,42,1,1,0,93,93
Senesi,221466,91,486,329,-157,13,10,-3,102,99
Moore,128340,91,38,44,6,2,2,0,14,14
McNeil,433154,11,515,576,61,8,10,2,124,126
Young,18892,11,375,267,-108,3,3,0,76,76
Toti,510362,39,468,295,-173,6,3,-3,82,79
Dawson,60232,39,421,294,-127,6,4,-2,69,67
Ahmedhodžić,233821,49,325,-8,-333,4,2,-2,31,29
Robinson,83427,49,375,69,-306,1,1,0,33,33
Dobbin,461421,11,54,64,10,0,1,1,18,19
L.Cook,155408,91,446,470,24,5,4,-1,77,76
Trafford,432720,90,533,290,-243,5,3,-2,70,68
Williams,215136,17,224,130,-94,2,2,0,39,39
Mateta,231747,31,563,635,72,22,23,1,165,166
Elliott,444884,14,402,447,45,8,7,-1,96,95
Tosin,109646,54,327,242,-85,2,3,1,66,67
Diego Carlos,165659,7,338,200,-138,1,1,0,55,55
Alex Moreno,106468,7,211,155,-56,5,6,1,49,50
Lewis-Potter,249231,94,186,244,58,1,3,2,73,75
R.Lewis,477064,43,215,207,-8,2,1,-1,52,51
Burn,78916,4,493,334,-159,4,3,-1,97,96
Krafth,111773,4,187,134,-53,1,0,-1,33,32
Fabianski,37096,21,152,68,-84,1,1,0,24,24
Onana,449871,11,304,361,57,5,5,0,66,66
Keane,106611,11,72,28,-44,2,2,0,18,18
Nkunku,213198,8,96,117,21,4,4,0,29,29
Aït-Nouri,448514,39,365,262,-103,6,7,1,77,78
Doherty,87835,39,186,119,-67,1,0,-1,41,40
João Gomes,448089,39,359,411,52,3,5,2,75,77
Townsend,60252,102,208,234,26,3,3,0,61,61
Bell,165183,102,263,119,-144,3,1,-2,35,33
Sambi,437742,102,231,265,34,4,5,1,47,48
Madueke,248857,8,253,296,43,7,7,0,76,76
Dendoncker,151589,7,64,67,3,3,3,0,20,20
Garnacho,493105,1,372,480,108,7,8,1,131,132
Højlund,497894,1,362,432,70,14,19,5,112,117
Veliz,536908,6,40,43,3,0,1,1,11,12
Scott,503139,91,163,194,31,3,3,0,41,41
Zabarnyi,477580,91,583,343,-240,3,1,-2,84,82
Mavropanos,233963,21,229,135,-94,3,3,0,40,40
G.Montiel,218430,17,152,109,-43,4,3,-1,28,27
Steele,49262,36,300,165,-135,5,3,-2,42,40
Jones,206915,14,171,195,24,2,2,0,40,40
Dubravka,67089,4,426,259,-167,3,2,-1,75,74
Cairney,76357,54,346,385,39,2,1,-1,70,69
Ings,84939,21,105,119,14,4,3,-1,36,35
Petrović,457569,8,414,287,-127,5,3,-2,71,69
Toney,144485,94,159,230,71,4,10,6,57,63
Danilo,513046,17,302,325,23,4,4,0,65,65
De Bruyne,61366,43,415,462,47,11,13,2,98,100
Bobb,477555,43,112,117,5,2,1,-1,30,29
Brereton Díaz,204814,49,173,224,51,5,6,1,62,63
Bradley,492777,14,211,203,-8,7,6,-1,50,49
Mainoo,516895,1,327,360,33,8,5,-3,77,74
Osho,199056,102,286,116,-170,1,1,0,41,41
Álvarez,213999,21,345,366,21,3,3,0,62,62
Matheus N.,465351,43,118,159,41,1,1,0,32,32
Sinisterra,224995,91,149,171,22,2,2,0,43,43
Longstaff,180135,4,418,482,64,3,4,1,110,111
D.D.Fofana,520295,90,133,181,48,8,8,0,50,50
Muniz,244042,54,299,385,86,12,15,3,97,100
Stones,97299,43,239,212,-27,3,2,-1,53,52
Ederson M.,121160,43,569,465,-104,5,3,-2,112,110
Sels,85633,17,206,101,-105,1,1,0,34,34
Havertz,219847,3,515,613,98,15,17,2,180,182
Tielemans,166989,7,318,357,39,2,3,1,77,78
Wharton,496221,31,222,245,23,4,2,-2,50,48
Bassey,232892,54,442,287,-155,4,2,-2,66,64
C.Richards,427623,31,370,231,-139,4,4,0,62,62
Muñoz,247348,31,270,190,-80,3,2,-1,56,55
Matheus França,536694,31,47,53,6,0,1,1,16,17
Kiwior,440854,3,260,235,-25,1,0,-1,67,66
Roerslev,226956,94,354,211,-143,3,0,-3,75,72
Rashford,176297,1,330,389,59,0,1,1,108,109
Kelleher,200720,14,198,154,-44,3,2,-1,34,33
Konaté,204716,14,315,256,-59,2,0,-2,56,54
Werner,165153,6,173,192,19,5,5,0,46,46
O.Dango,533463,91,207,238,31,3,3,0,56,56
Reed,153366,54,205,219,14,0,1,1,47,48
Cullen,172567,90,375,434,59,5,5,0,65,65
Woodrow,91046,102,118,130,12,3,4,1,33,34
Burke,156658,102,260,130,-130,2,2,0,40,40
Zaniolo,245414,7,36,77,41,0,2,2,34,36
Muric,232917,90,241,176,-65,12,0,-12,47,35
Beto,486385,11,105,148,43,3,3,0,50,50
Adams,200785,91,28,31,3,1,1,0,5,5
Ortega Moreno,88248,43,114,87,-27,2,2,0,22,22
Smith,54469,91,378,268,-110,4,4,0,80,80
Hall,487838,4,171,136,-35,3,2,-1,38,37
Vitinho,441455,90,259,119,-140,2,1,-1,60,59
Jorginho,85955,3,182,197,15,1,0,-1,44,43
Clark,96784,102,156,190,34,3,3,0,44,44
Coleman,59949,11,141,106,-35,3,2,-1,30,29
Zanka,48760,94,179,93,-86,3,3,0,29,29
Cucurella,179268,8,318,229,-89,3,3,0,44,44
Ekdal,478969,90,77,49,-28,3,3,0,15,15
Henderson,172649,31,293,175,-118,2,1,-1,48,47
Assignon,503724,90,140,36,-104,3,3,0,25,25
Travers,229600,91,79,60,-19,2,2,0,19,19
Hughes,108413,31,252,288,36,2,2,0,61,61
Gravenberch,441266,14,176,207,31,3,3,0,45,45
Chalobah,180736,8,221,172,-49,4,3,-1,39,38
Caicedo,486672,8,466,525,59,6,6,0,84,84
Antony,467169,1,184,246,62,0,3,3,47,50
Enes Ünal,168636,91,99,124,25,3,3,0,40,40
Olsen,111782,7,107,53,-54,3,3,0,17,17
Webster,110735,36,212,127,-85,2,0,-2,26,24
Amad,493250,1,68,80,12,3,3,0,23,23
Anderson,215379,4,144,171,27,3,3,0,42,42
Quansah,441428,14,263,213,-50,5,3,-2,49,47
Adama,159533,54,113,131,18,1,1,0,36,36
Ward,55494,31,304,174,-130,0,0,0,54,54
C.Doucouré,438464,31,141,146,5,0,0,0,21,21
Egan,108416,49,54,-11,-65,0,0,0,1,1
Lowe,155197,49,47,2,-45,0,0,0,13,13
Osborn,167878,49,182,191,9,0,0,0,38,38
Larouci,432990,49,63,26,-37,0,0,0,10,10
Brooks,538210,49,82,95,13,0,0,0,26,26
Tomkins,49413,31,12,4,-8,0,0,0,3,3
Basham,40386,49,35,14,-21,0,0,0,8,8
Hackford,487836,49,5,5,0,0,0,0,2,2
T.Bénie,523957,49,14,20,6,0,0,0,11,11
Seriki,471848,49,0,0,0,0,0,0,0,0
Norrington-Davies,443211,49,12,-11,-23,0,0,0,2,2
Matthews,169593,31,3,-1,-4,0,0,0,1,1
Ebiowei,450535,31,0,0,0,0,0,0,0,0
Plange,450541,31,0,0,0,0,0,0,0,0
O'Brien,512462,31,0,0,0,0,0,0,0,0
Jebbison,523700,49,3,3,0,0,0,0,1,1
Ndiaye,440993,49,0,0,0,0,0,0,0,0
Riedewald,173954,31,35,37,2,0,0,0,12,12
Bogle,226182,49,354,82,-272,0,0,0,63,63
Trusty,201410,49,349,42,-307,0,0,0,28,28
Clyne,57328,31,259,198,-61,0,0,0,52,52
Whitworth,487818,31,0,0,0,0,0,0,0,0
Rak-Sakyi,450542,31,21,28,7,0,0,0,8,8
Fleck,47247,49,13,15,2,0,0,0,3,3
Gordon,461382,31,0,0,0,0,0,0,0,0
Ahamada,466117,31,52,62,10,0,0,0,16,16
Marsh,532377,49,0,0,0,0,0,0,0,0
Brewster,195473,49,14,25,11,0,0,0,11,11
Amissah,538206,49,0,0,0,0,0,0,0,0
A.Davies,102549,49,0,0,0,0,0,0,0,0
Coulibaly,476938,49,0,0,0,0,0,0,0,0
Guaita,40836,31,0,0,0,0,0,0,0,0
Slimane,504198,49,23,35,12,0,0,0,14,14
Osula,538207,49,27,55,28,0,0,0,25,25
Milner,15157,36,146,152,6,0,0,0,28,28
Dahoud,168090,36,68,72,4,0,0,0,14,14
Nakamba,184704,102,131,140,9,0,0,0,21,21
Berry,82738,102,94,109,15,0,0,0,31,31
Giles,232351,102,81,31,-50,0,0,0,11,11
Shea,77818,102,8,8,0,0,0,0,1,1
Moder,243505,36,89,100,11,0,0,0,21,21
Zeqiri,204676,36,0,0,0,0,0,0,0,0
Pereira,243532,102,0,0,0,0,0,0,0,0
Thorpe,232477,102,0,0,0,0,0,0,0,0
Scherpen,240514,36,0,0,0,0,0,0,0,0
Connolly,233425,36,0,0,0,0,0,0,0,0
Taylor,242500,102,0,0,0,0,0,0,0,0
Campbell,193195,102,0,0,0,0,0,0,0,0
Mendes,453537,102,0,0,0,0,0,0,0,0
McAtee,422303,102,0,0,0,0,0,0,0,0
McGill,209288,36,0,0,0,0,0,0,0,0
Muskwe,174595,102,0,0,0,0,0,0,0,0
Francis-Clarke,552030,102,0,0,0,0,0,0,0,0
Lallana,39155,36,95,110,15,0,0,0,30,30
Pepple,490180,102,0,0,0,0,0,0,0,0
Alzate,235382,36,0,0,0,0,0,0,0,0
Sarmiento,441192,36,0,0,0,0,0,0,0,0
Karbownik,442229,36,0,0,0,0,0,0,0,0
Ayari,509416,36,0,0,0,0,0,0,0,0
Onyedinma,168035,102,19,29,10,0,0,0,11,11
Kozłowski,484658,36,0,0,0,0,0,0,0,0
Macey,113534,102,0,0,0,0,0,0,0,0
Watson,223333,102,0,0,0,0,0,0,0,0
Potts,108411,102,0,0,0,0,0,0,0,0
Freeman,49083,102,0,0,0,0,0,0,0,0
Walton,207722,102,0,0,0,0,0,0,0,0
Undav,450434,36,0,0,0,0,0,0,0,0
Rea,165152,102,0,0,0,0,0,0,0,0
Lamptey,232792,36,155,93,-62,0,0,0,31,31
Mpanzu,104047,102,107,123,16,0,0,0,35,35
Veltman,111478,36,294,214,-80,0,0,0,49,49
Shaw,106760,1,195,146,-49,0,0,0,31,31
Casemiro,61256,1,323,351,28,0,0,0,58,58
N.Semedo,200402,39,455,245,-210,0,0,0,63,63
Fábio Silva,449988,39,7,17,10,0,0,0,8,8
Mount,184341,1,93,104,11,0,0,0,23,23
H.Bueno,490721,39,136,78,-58,0,0,0,29,29
Martinez,221820,1,134,89,-45,0,0,0,15,15
Sancho,209243,1,11,13,2,0,0,0,3,3
Pellistri,488404,1,36,46,10,0,0,0,13,13
Boubacar Traore,476502,39,122,128,6,0,0,0,25,25
Bailly,197365,1,0,0,0,0,0,0,0,0
Van de Beek,180184,1,3,3,0,0,0,0,1,1
Jordão,428610,39,0,0,0,0,0,0,0,0
Shoretire,472464,1,0,0,0,0,0,0,0,0
Cundle,245923,39,0,0,0,0,0,0,0,0
Šarkić,216208,39,0,0,0,0,0,0,0,0
Guedes,181284,39,0,0,0,0,0,0,0,0
J.Otto,114128,39,3,3,0,0,0,0,1,1
Hannibal,465527,1,34,42,8,0,0,0,11,11
B.Williams,232937,1,0,0,0,0,0,0,0,0
Fred,101582,1,0,0,0,0,0,0,0,0
Hodge,240299,39,0,0,0,0,0,0,0,0
Forson,487828,1,23,23,0,0,0,0,7,7
Bolla,431960,39,0,0,0,0,0,0,0,0
Podence,200600,39,0,0,0,0,0,0,0,0
Chiquinho,510363,39,0,0,0,0,0,0,0,0
Hoever,441271,39,0,0,0,0,0,0,0,0
King,138001,39,0,0,0,0,0,0,0,0
Heaton,21205,1,0,0,0,0,0,0,0,0
Alex Telles,152590,1,0,0,0,0,0,0,0,0
Fernandez,515501,1,0,0,0,0,0,0,0,0
Malacia,222690,1,0,0,0,0,0,0,0,0
Bissouma,227127,6,315,356,41,0,0,0,44,44
Henry,194010,94,74,60,-14,0,0,0,13,13
Skipp,209042,6,105,119,14,0,0,0,22,22
Perišić,45034,6,34,31,-3,0,0,0,6,6
Damsgaard,440089,94,155,171,16,0,0,0,45,45
Baptiste,432160,94,83,87,4,0,0,0,19,19
Sánchez,173904,6,9,2,-7,0,0,0,0,0
Hickey,472713,94,87,57,-30,0,0,0,17,17
Austin,214572,6,0,0,0,0,0,0,0,0
Cox,503300,94,0,0,0,0,0,0,0,0
Davies,115556,6,216,155,-61,0,0,0,34,34
Sessegnon,184349,6,0,0,0,0,0,0,0,0
Højbjerg,132015,6,239,268,29,0,0,0,39,39
Whiteman,175941,6,0,0,0,0,0,0,0,0
Trevitt,591357,94,0,0,0,0,0,0,0,0
Bryan,436234,6,41,46,5,0,0,0,12,12
Dervişoğlu,434662,94,0,0,0,0,0,0,0,0
Rodon,214225,6,0,0,0,0,0,0,0,0
Balcombe,235448,94,0,0,0,0,0,0,0,0
Ndombele,231372,6,0,0,0,0,0,0,0,0
Scarlett,490145,6,10,12,2,0,0,0,4,4
Tanganga,199584,6,0,0,0,0,0,0,0,0
Goode,213687,94,0,0,0,0,0,0,0,0
Dasilva,183656,94,6,6,0,0,0,0,3,3
Dier,93264,6,31,0,-31,0,0,0,2,2
Lloris,37915,6,0,0,0,0,0,0,0,0
Strakosha,140200,94,24,17,-7,0,0,0,4,4
Onyeka,428580,94,150,199,49,0,0,0,39,39
Bidstrup,481405,94,0,0,0,0,0,0,0,0
Olakigbe,501284,94,14,14,0,0,0,0,8,8
Spence,232859,6,0,0,0,0,0,0,0,0
Kane,78830,6,0,0,0,0,0,0,0,0
Yarmoliuk,508395,94,95,98,3,0,0,0,33,33
Forster,40383,6,0,0,0,0,0,0,0,0
Canós,174932,94,0,0,0,0,0,0,0,0
Bentancur,202993,6,153,178,25,0,0,0,32,32
Bech,228044,94,0,0,0,0,0,0,0,0
Aarons,232980,91,199,85,-114,0,0,0,28,28
Rothwell,156685,91,54,56,2,0,0,0,13,13
Benrahma,172841,21,64,80,16,0,0,0,20,20
P.Fornals,217593,21,68,79,11,0,0,0,19,19
N.Aguerd,210494,21,282,118,-164,0,0,0,36,36
Kehrer,201057,21,7,3,-4,0,0,0,2,2
Cornet,149519,21,40,44,4,0,0,0,13,13
Mepham,223911,91,113,53,-60,0,0,0,16,16
Hill,463981,91,22,18,-4,0,0,0,5,5
Anthony,444180,91,4,8,4,0,0,0,3,3
Radu,215531,91,31,3,-28,0,0,0,2,2
Scamacca,195899,21,0,0,0,0,0,0,0,0
Pearson,156687,91,0,0,0,0,0,0,0,0
Ogbonna,40669,21,103,50,-53,0,0,0,19,19
Randolph,32259,91,0,0,0,0,0,0,0,0
Johnson,222018,21,90,37,-53,0,0,0,17,17
Downes,220585,21,0,0,0,0,0,0,0,0
Greenwood,474772,91,0,0,0,0,0,0,0,0
Mubama,487837,21,14,15,1,0,0,0,5,5
Vlašić,180151,21,0,0,0,0,0,0,0,0
Hamed Traorè,424044,91,10,14,4,0,0,0,3,3
Cresswell,55459,21,71,30,-41,0,0,0,10,10
Fredericks,81012,91,0,0,0,0,0,0,0,0
Siriki,244085,91,0,0,0,0,0,0,0,0
Coventry,222017,21,0,0,0,0,0,0,0,0
Marcondes,133845,91,0,0,0,0,0,0,0,0
Lowe,128309,91,0,0,0,0,0,0,0,0
Kilkenny,444183,91,0,0,0,0,0,0,0,0
Anang,447879,21,0,0,0,0,0,0,0,0
Laporte,146941,43,4,6,2,0,0,0,1,1
Koleosho,487702,90,80,103,23,0,0,0,40,40
McAtee,432714,49,259,304,45,0,0,0,77,77
Redmond,83283,90,38,40,2,0,0,0,11,11
Al-Dakhil,487968,90,127,33,-94,0,0,0,19,19
Franchi,493347,90,0,0,0,0,0,0,0,0
Vigouroux,133085,90,0,0,0,0,0,0,0,0
Costelloe,530873,90,0,0,0,0,0,0,0,0
McNally,483391,90,0,0,0,0,0,0,0,0
Twine,226473,90,0,0,0,0,0,0,0,0
Sergio Gómez,437468,43,24,16,-8,0,0,0,9,9
Peacock-Farrell,220037,90,0,0,0,0,0,0,0,0
Obafemi,220598,90,4,4,0,0,0,0,2,2
Doyle,220394,39,197,208,11,0,0,0,38,38
Charles,463210,43,0,0,0,0,0,0,0,0
Perrone,482769,43,0,0,0,0,0,0,0,0
Weghorst,120202,90,0,0,0,0,0,0,0,0
Mahrez,103025,43,0,0,0,0,0,0,0,0
Thomas,461102,90,0,0,0,0,0,0,0,0
Gudmundsson,60586,90,193,225,32,0,0,0,48,48
Bastien,189776,90,0,0,0,0,0,0,0,0
Cork,40145,90,8,9,1,0,0,0,4,4
Cancelo,121145,43,0,0,0,0,0,0,0,0
Steffen,164484,43,0,0,0,0,0,0,0,0
Agyei,578614,90,0,0,0,0,0,0,0,0
Churlinov,250735,90,0,0,0,0,0,0,0,0
Egan-Riley,432711,90,0,0,0,0,0,0,0,0
Carson,17601,43,0,0,0,0,0,0,0,0
Dodgson,461567,90,0,0,0,0,0,0,0,0
Phillips,155405,21,27,38,11,0,0,0,10,10
Benson,183751,90,22,30,8,0,0,0,8,8
Roberts,192290,90,111,28,-83,0,0,0,12,12
Zaroury,511783,90,10,15,5,0,0,0,4,4
Tonali,432422,4,86,96,10,0,0,0,16,16
Coutinho,84583,7,7,10,3,0,0,0,2,2
Philogene,481624,7,3,3,0,0,0,0,1,1
A.Murphy,545477,4,6,6,0,0,0,0,2,2
Iroegbunam,490094,7,29,32,3,0,0,0,10,10
Chambers,101184,7,37,14,-23,0,0,0,6,6
J.Lewis,194799,4,0,0,0,0,0,0,0,0
Sinisalo,248164,7,0,0,0,0,0,0,0,0
Ashby,441024,4,0,0,0,0,0,0,0,0
Willock,200089,4,60,69,9,0,0,0,18,18
Manquillo,109528,4,0,0,0,0,0,0,0,0
Dummett,106618,4,10,6,-4,0,0,0,5,5
Kellyman,549068,7,6,6,0,0,0,0,2,2
Darlow,59735,4,0,0,0,0,0,0,0,0
Targett,169359,4,15,1,-14,0,0,0,2,2
Buendia,195546,7,0,0,0,0,0,0,0,0
Wesley,213345,7,0,0,0,0,0,0,0,0
Hayden,153127,4,0,0,0,0,0,0,0,0
Karius,104542,4,17,1,-16,0,0,0,1,1
Sanson,122775,7,0,0,0,0,0,0,0,0
Saint-Maximin,170137,4,0,0,0,0,0,0,0,0
Davis,221239,7,0,0,0,0,0,0,0,0
Hause,123354,7,0,0,0,0,0,0,0,0
Kuol,564510,4,0,0,0,0,0,0,0,0
Fraser,90105,4,0,0,0,0,0,0,0,0
J.Ramsey,232653,7,101,121,20,0,0,0,29,29
Bertrand Traoré,110504,7,6,6,0,0,0,0,2,2
Ritchie,56983,4,49,58,9,0,0,0,17,17
Watts,232977,4,0,0,0,0,0,0,0,0
Hendrick,83314,4,0,0,0,0,0,0,0,0
Gillespie,81441,4,0,0,0,0,0,0,0,0
Mings,149484,7,5,-3,-8,0,0,0,0,0
James,225796,8,106,61,-45,0,0,0,11,11
Chukwuemeka,478912,8,53,59,6,0,0,0,16,16
Ugochukwu,503714,8,62,64,2,0,0,0,13,13
Maatsen,441302,8,24,25,1,0,0,0,11,11
Doak,496208,14,3,3,0,0,0,0,1,1
Bettinelli,122074,8,-3,-3,0,0,0,0,-1,-1
Ziyech,124183,8,0,0,0,0,0,0,0,0
Baba,118335,8,0,0,0,0,0,0,0,0
McConnell,491501,14,8,9,1,0,0,0,3,3
Bajcetic,535928,14,3,5,2,0,0,0,1,1
Clark,491970,14,7,10,3,0,0,0,5,5
Phillips,197464,14,0,0,0,0,0,0,0,0
M.Sarr,204727,8,0,0,0,0,0,0,0,0
Ângelo,518620,8,0,0,0,0,0,0,0,0
Thiago,61558,14,3,3,0,0,0,0,1,1
Arrizabalaga,109745,8,0,0,0,0,0,0,0,0
Andrey,532605,8,1,1,0,0,0,0,1,1
Burstow,534392,8,6,6,0,0,0,0,2,2
Matip,60914,14,145,112,-33,0,0,0,21,21
Adrián,60706,14,0,0,0,0,0,0,0,0
Aubameyang,54694,8,0,0,0,0,0,0,0,0
Slonina,471798,8,0,0,0,0,0,0,0,0
Bergström,482158,8,0,0,0,0,0,0,0,0
Fabinho,116643,14,0,0,0,0,0,0,0,0
W.Fofana,444463,8,0,0,0,0,0,0,0,0
Van den Berg,444765,14,0,0,0,0,0,0,0,0
Ampadu,199598,8,0,0,0,0,0,0,0,0
Pulisic,176413,8,0,0,0,0,0,0,0,0
Azpilicueta,41328,8,0,0,0,0,0,0,0,0
Lukaku,66749,8,0,0,0,0,0,0,0,0
Henderson,56979,14,0,0,0,0,0,0,0,0
Thomas,167199,3,142,152,10,0,0,0,24,24
