name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Scanlon,519328,14,0,22,22,0,0,0,0,0
Tanton,487693,54,0,0,0,0,0,0,0,0
Adedokun,516432,94,0,0,0,0,0,0,0,0
Nelson,589114,102,6,6,0,0,0,0,2,2
Baker-Boaitey,475480,36,10,10,0,0,0,0,4,4
O’Mahony,574402,36,5,5,0,0,0,0,2,2
Yarmoliuk,508395,94,95,108,13,0,0,0,33,33
Nyoni,591386,14,0,0,0,0,0,0,0,0
Peart-Harris,450539,94,6,8,2,0,0,0,3,3
Parkinson,547716,4,2,2,0,0,0,0,1,1
Diallo,248859,4,3,3,0,0,0,0,1,1
Dorrington,519321,6,0,0,0,0,0,0,0,0
Walters,535262,3,0,0,0,0,0,0,0,0
Sagoe,516874,3,0,0,0,0,0,0,0,0
Ibrahim,535264,3,0,0,0,0,0,0,0,0
Ndiweni,490150,4,3,3,0,0,0,0,1,1
Hugill,515504,1,0,0,0,0,0,0,0,0
Duffus,532528,36,0,0,0,0,0,0,0,0
Jackson,514154,36,0,0,0,0,0,0,0,0
Kavanagh,513836,36,0,0,0,0,0,0,0,0
Angelini,563883,94,0,0,0,0,0,0,0,0
Yago Santiago,492779,6,0,0,0,0,0,0,0,0
Hubner,504750,39,0,0,0,0,0,0,0,0
Whittingham,483398,39,0,0,0,0,0,0,0,0
Chirewa,497606,39,21,25,4,0,0,0,8,8
Pitaluga,443629,14,0,0,0,0,0,0,0,0
Castledine,517995,8,0,0,0,0,0,0,0,0
Barrington,500052,36,0,0,0,0,0,0,0,0
Peck,552425,49,3,3,0,0,0,0,1,1
Kambwala,518466,1,48,10,-38,0,0,0,5,5
Lewis-Skelly,499169,3,0,0,0,0,0,0,0,0
Proctor,564505,7,0,0,0,0,0,0,0,0
Adaramola,501468,31,0,0,0,0,0,0,0,0
Susoho,496283,43,0,0,0,0,0,0,0,0
Campbell,491745,11,0,0,0,0,0,0,0,0
Metcalfe,491557,11,0,0,0,0,0,0,0,0
O'Reilly,515599,7,0,0,0,0,0,0,0,0
Hesketh,432712,39,0,0,0,0,0,0,0,0
Barnett,490095,39,0,0,0,0,0,0,0,0
Bennett,515500,1,0,0,0,0,0,0,0,0
Hamilton,462438,43,0,0,0,0,0,0,0,0
